ERROR 2019-01-24 10:03:44,938 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:44,938 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:46,273 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:46,273 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:46,273 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:47,158 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:47,158 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:47,158 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:48,017 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,000 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,001 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,001 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,002 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,002 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,374 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,375 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:49,375 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:51,069 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:51,069 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:47,129 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:47,934 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:48,406 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:48,409 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:48,409 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:48,830 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:48,830 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:49,356 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:49,624 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:49,625 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:49,902 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:49,903 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:51,094 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:51,387 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:51,387 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:52,828 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:52,831 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:53,988 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:53,988 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:53,990 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:53,990 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:55,259 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:55,259 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:55,259 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:55,259 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:57,318 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:57,614 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:57,614 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:59,161 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:59,161 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:31:59,509 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:00,152 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:01,459 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:03,803 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:03,803 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:03,803 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:04,331 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:04,606 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:04,606 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:05,379 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:05,970 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,271 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,271 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,271 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,272 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,274 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,274 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,275 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:08,276 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:09,184 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:09,186 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:09,643 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:10,115 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:10,245 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:10,245 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:11,649 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:13,772 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:13,772 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:13,772 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:13,772 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:13,772 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:15,927 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:18,478 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:18,478 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:18,478 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:32:19,722 Conversion of price in float failed with error: could not convert string to float: 
